timestamp,x,y,z,accuracy
1637591505214,-8.77794,-0.5985482,4.1182857,3
1637591505234,-8.763575,-0.72304136,4.041674,3
1637591505254,-8.878491,-0.6847357,4.0991325,3
1637591505274,-8.921586,-0.8523227,4.448671,3
1637591505294,-9.055655,-1.1922848,5.0711365,3
1637591505312,-9.453074,-1.1060972,6.100599,3
1637591505332,-10.544784,-1.7237747,7.675916,3
1637591505354,-11.172038,-4.883985,6.9289575,3
1637591505396,-10.937417,-9.700912,8.940001,3
1637591505397,-9.769095,-12.008823,8.868177,3
1637591505413,-9.936683,-10.577152,7.71901,3
1637591505432,-9.1370535,-10.304225,7.580152,3
1637591505454,-7.600043,-8.848613,7.0055685,3
1637591505474,-6.8243546,-6.7035,6.0096235,3
1637591505494,-6.1731596,-4.9510193,4.549223,3
1637591505514,-5.383107,-4.275884,3.7112885,3
1637591505534,-5.0622983,-4.247154,3.3521738,3
1637591505553,-5.1293325,-3.3613381,3.1462812,3
1637591505574,-5.1963677,-2.4036987,3.3904796,3
1637591505594,-5.081451,-2.0445836,3.3904796,3
1637591505614,-5.205944,-1.7046219,3.404844,3
1637591505634,-5.421413,-1.1683438,3.2659862,3
1637591505654,-5.316073,-0.49320787,2.897295,3
1637591505674,-5.34959,-0.067058295,3.6203127,3
1637591505698,-5.5506945,-0.22028063,3.864511,3
1637591505711,-5.665611,-0.67515934,3.89324,3
1637591505734,-5.785316,-0.9768159,3.8740873,3
1637591505752,-6.1061254,-2.0828893,4.443883,3
1637591505770,-6.3838406,-1.7908094,4.8460913,3
1637591505791,-6.340747,-1.0869445,4.616258,3
1637591505810,-6.6854973,-0.253798,4.6832924,3
1637591505830,-7.5282197,-0.21070422,5.104654,3
1637591505850,-8.758787,-0.5793954,5.7462726,3
1637591505870,-9.65418,-1.3838127,6.6656065,3
1637591505890,-9.443499,-0.9720276,7.2928605,3
1637591505909,-9.156207,0.043070257,7.6998568,3
1637591505931,-9.788249,0.5027372,7.9488435,3
1637591505950,-10.358045,0.41176146,8.111643,3
1637591505967,-10.918263,-0.18197502,8.293594,3
1637591505987,-11.478483,-2.3528934E-5,8.188254,3
1637591506009,-12.220654,-0.44532585,7.9584203,3
1637591506026,-12.41697,-1.8003858,8.102066,3
1637591506050,-12.105737,-2.4180632,8.284018,3
1637591506068,-11.880692,-2.8106954,8.149948,3
1637591506087,-11.7274685,-3.16981,7.843503,3
1637591506108,-11.478483,-3.8593106,7.2018843,3
1637591506128,-10.923052,-6.0331526,7.0295095,3
1637591506147,-9.448287,-7.359483,6.287339,3
1637591506167,-8.629505,-7.6659274,5.640932,3
1637591506186,-7.7293243,-8.034619,4.640199,3
1637591506206,-7.044612,-9.274762,3.6107366,3
1637591506226,-6.5322747,-10.8261385,3.3665385,3
1637591506245,-5.952903,-9.772736,3.452726,3
1637591506265,-5.93375,-8.120807,3.0457292,3
1637591506284,-6.1971006,-8.1303835,2.7919548,3
1637591506305,-6.2354064,-8.0011015,2.605215,3
1637591506325,-6.551428,-8.072925,2.3753815,3
1637591506368,-6.7956257,-8.479921,2.2365236,3
1637591506368,-7.0781293,-8.422463,2.2461002,3
1637591506384,-7.2265635,-7.7569036,2.8637776,3
1637591506404,-7.4659734,-7.76648,3.0600936,3
1637591506424,-7.8394527,-7.795209,2.7201316,3
1637591506444,-8.370943,-7.239778,2.7057672,3
1637591506464,-8.337425,-6.722653,3.165434,3
1637591506484,-8.370943,-6.2773504,3.4910314,3
1637591506504,-8.394884,-5.5064507,3.9459105,3
1637591506524,-8.040557,-4.71161,3.969851,3
1637591506544,-7.5569487,-4.280672,3.9746394,3
1637591506565,-7.1307993,-3.3709145,3.9985805,3
1637591506584,-6.8004136,-1.8482678,3.2755628,3
1637591506605,-6.94406,-0.5075724,2.4567807,3
1637591506624,-7.4611855,-0.6991004,3.3186564,3
1637591506644,-7.9064875,-1.4939412,4.3193893,3
1637591506662,-8.203356,-1.9153026,4.913126,3
1637591506682,-8.428401,-1.3550835,4.913126,3
1637591506702,-8.624717,-0.31604457,4.855668,3
1637591506721,-8.749209,0.39739686,5.123807,3
1637591506742,-8.806669,-0.13888125,5.075925,3
1637591506762,-8.806669,-0.15324585,4.9657965,3
1637591506781,-8.849763,0.61286575,5.4494047,3
1637591506803,-8.816245,0.88579303,6.0575056,3
1637591506821,-8.912009,0.81875825,5.6505084,3
1637591506841,-8.916797,1.9200436,5.0041018,3
